"","...1","sample","type","score.meth","score.delfi","score.meth_reg","ens_preds"
"174",13,"PGDX18236P","healthy",0.0694296088875953,0.0256005734298763,0.281996080028462,0.127079734103427
"175",14,"PGDX18239P","healthy",0.023590160406367,0.040055582255949,0.0213507705074898,0.0797832048226069
"176",15,"PGDX18265P","healthy",0.00844298303666858,0.388919796111878,0.241702243684123,0.218078118410709
"177",16,"PGDX18273P","healthy",0.0511328923755014,0.110153455088529,0.073962265666386,0.100379165290179
"178",17,"PGDX18328P","healthy",0.00762647456986815,0.0416043269539087,0.0570423144104548,0.0857089246837486
"179",18,"PGDX18333P","healthy",0.006232963361799,0.191637235171357,0.0252498895946934,0.106162684931142
"180",19,"PGDX18442P","healthy",0.087717353693322,0.325514758700245,0.0839196246343332,0.14975021025941
"181",20,"PGDX18455P","healthy",0.00928672910216975,0.870933872959048,0.0322268997403798,0.322544361326673
"182",21,"PGDX18457P","healthy",0.0861906785258911,0.20713530795664,0.118721198166825,0.129784394997081
"183",22,"PGDX18693P","healthy",0.00712780408837707,0.706351750392595,0.0553969052298756,0.263805909856974
"184",23,"PGDX18697P","healthy",0.336899796354445,0.44406533660113,0.180383291833099,0.215146058710901
"185",24,"PGDX18701P","healthy",0.0175532279707464,0.00826131815686926,0.0525645560333913,0.079876231906553
"186",25,"PGDX18704P","healthy",0.0345968068478568,0.963453377645496,0.0606795229742704,0.378662766531376
"187",26,"PGDX18712P","healthy",0.399542307804861,0.140595173736719,0.357638324449084,0.177179233476363
"188",27,"PGDX18713P","healthy",0.0314532736239177,0.159167853854513,0.073738653072157,0.109645920303249
"189",28,"PGDX8175P","cancer",0.777572553475464,0.483064007380302,0.346535832910414,0.296025240833203
"190",29,"PGDX8261P","cancer",0.98838115199833,0.944417836218529,0.946573177325364,0.790367950824324
"191",1,"PGDX16584P","healthy",0.0181947304857134,0.479808399358925,0.119652065936669,0.18236484940879
"192",2,"PGDX16594P","healthy",0.00440382945837547,0.365984401120557,0.019439529334358,0.0821877146281901
"193",3,"PGDX17728P","cancer",0.731922259233817,0.181018657236517,0.853956950811603,0.450144904983143
"194",4,"PGDX17731P","cancer",0.978767953673182,0.237416777913545,0.968976396991889,0.621120125664396
"195",5,"PGDX17742P","cancer",0.0478683680144091,0.0353597344856953,0.0117652932342608,0.0177486750018757
"196",6,"PGDX17743P","cancer",0.989554862698587,0.735930569875801,0.970970814928057,0.946450672258055
"197",7,"PGDX17947P","healthy",0.385001299381386,0.153019487529677,0.0443553835917145,0.0344462811344614
"198",8,"PGDX17951P","healthy",0.00232418642294559,0.512855409808388,0.0150841871533278,0.150490571728126
"199",9,"PGDX17960P","healthy",0.0103708488545627,0.0323969043745006,0.0645413741753461,0.0212056037410792
"200",10,"PGDX17970P","healthy",0.0022244453958941,0.026591884981205,0.0913570672433832,0.0227474974126111
"201",11,"PGDX17972P","healthy",0.00888695774695749,0.801306824019204,0.0702692597484248,0.461405764492462
"202",12,"PGDX17976P","healthy",0.00065831891661944,0.169845364418543,0.0150354649976751,0.0335062534046044
"203",13,"PGDX18235P","healthy",0.0112213293281552,0.0048399701295756,0.0780874035108663,0.0195911430538174
"204",14,"PGDX18242P","healthy",0.208167841252892,0.00434408502546335,0.19866042706816,0.0302233329474138
"205",15,"PGDX18247P","healthy",0.00274338652021659,0.0101730238911714,0.0272686853117339,0.0166943656904182
"206",16,"PGDX18280P","healthy",0.485003278677573,0.0208836428036628,0.236185077322967,0.0372997988572802
"207",17,"PGDX18283P","healthy",0.00146548858142528,0.32595770346284,0.134550126497968,0.101857297825226
"208",18,"PGDX18424P","healthy",0.18767383153794,0.067159866713223,0.269480615724299,0.05179234764815
"209",19,"PGDX18429P","healthy",0.0940705956849625,0.0094544339719298,0.36083586907208,0.0550343755795962
"210",20,"PGDX18431P","healthy",0.101727560263206,0.00259205842730326,0.0266688968636607,0.0160776227940496
"211",21,"PGDX18444P","healthy",0.0299376223804933,0.283069300586256,0.254103049911278,0.125903941534553
"212",22,"PGDX18700P","healthy",0.145303370797221,0.0280547924986817,0.241080460746648,0.0392216431242637
"213",23,"PGDX18702P","healthy",0.00283355761910256,0.0535268529071228,0.0609409774260848,0.0230915653078639
"214",24,"PGDX18709P","healthy",0.0252870568468034,0.264591013937467,0.291292423749348,0.131504092800541
"215",25,"PGDX8257P","cancer",0.0311405704201314,0.989610049228127,0.0431439803807677,0.654793252307085
"216",1,"PGDX16585P","healthy",0.147377499383109,0.366747515362054,0.019968934098001,0.0951223403160076
"217",2,"PGDX16591P","healthy",0.251822556434909,0.472146215701461,0.116521324173045,0.199156989492906
"218",3,"PGDX17729P","cancer",0.29740345016734,0.85674322460513,0.0963137305211234,0.597249415220217
"219",4,"PGDX17750P","cancer",0.75511993973333,0.992874339862112,0.904441900802455,0.981917916408337
"220",5,"PGDX17751P","cancer",0.280907173802226,0.470531007732202,0.467881992994187,0.470028798119015
"221",6,"PGDX17757P","cancer",0.976613741872054,0.981374307867014,0.98554518708045,0.985717038966039
"222",7,"PGDX17762P","cancer",0.572243170444789,0.801047819936198,0.70406287926227,0.911949765487948
"223",8,"PGDX17944P","healthy",0.0318123287317778,0.102344420273837,0.0176473237018581,0.0282163596436389
"224",9,"PGDX17959P","healthy",0.0603876861691971,0.263374125083463,0.0285707553868222,0.0617438085552441
"225",10,"PGDX17963P","healthy",0.0446739308226411,0.577174550379545,0.0295861448232057,0.231404041351017
"226",11,"PGDX17966P","healthy",0.192155255422254,0.0423087802432512,0.0970513668514341,0.0281863337943631
"227",12,"PGDX17973P","healthy",0.0848300492355871,0.169375095040775,0.0165879016232235,0.0384548007903662
"228",13,"PGDX17974P","healthy",0.0618036249490563,0.12945027811461,0.0274087996032622,0.0331610190057096
"229",14,"PGDX17985P","healthy",0.0370071225691437,0.155814277203968,0.0610820469958554,0.04218447936161
"230",15,"PGDX18256P","healthy",0.0536047127770391,0.0279558760167975,0.0441072761347582,0.0218281234075695
